상호명,지점명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,도로명주소,경도,위도,n_상호명,점포수
버거킹오션월드, ,패스트푸드,패스트푸드,강원도,홍천군,서면,강원도 홍천군 서면 한치골길 262,127.687272903554,37.652323738755705,버거킹,1
버거킹,비발디점,패스트푸드,패스트푸드,강원도,홍천군,서면,강원도 홍천군 서면 한치골길 262,127.687272903554,37.652323738755705,버거킹,1
BKR버거킹,대명비발디점,패스트푸드,패스트푸드,강원도,홍천군,서면,강원도 홍천군 서면 한치골길 262,127.687272903554,37.652323738755705,버거킹,1
버거킹,강릉교동SK점,패스트푸드,패스트푸드,강원도,강릉시,교1동,강원도 강릉시 하슬라로 159,128.874436857008,37.7643698264843,버거킹,1
버거킹춘천거두GS점,춘천거두GS점,패스트푸드,패스트푸드,강원도,춘천시,동내면,강원도 춘천시 동내면 춘천순환로 59,127.75030389007799,37.8559305200607,버거킹,1
버거킹,춘천거두GS점,패스트푸드,패스트푸드,강원도,춘천시,동내면,강원도 춘천시 동내면 춘천순환로 59,127.75021331209601,37.8558312144576,버거킹,1
버거킹,속초디티점,패스트푸드,패스트푸드,강원도,속초시,조양동,강원도 속초시 동해대로 4059,128.590668264438,38.1892539814337,버거킹,1
버거킹,오션월드,패스트푸드,패스트푸드,강원도,홍천군,서면,강원도 홍천군 서면 한치골길 264,127.68583971510901,37.6481840552354,버거킹,1
버거킹,원주명륜오일뱅크점,패스트푸드,패스트푸드,강원도,원주시,명륜2동,강원도 원주시 남원로 505,127.945222391049,37.3297207640132,버거킹,1
버거킹,춘천온의점,패스트푸드,패스트푸드,강원도,춘천시,강남동,강원도 춘천시 방송길 98-1,127.72038288878299,37.8677658878503,버거킹,1
버거킹,성남이마트점,패스트푸드,패스트푸드,경기도,성남시 수정구,태평4동,경기도 성남시 수정구 수정로 201,127.141399637783,37.4442813117988,버거킹,1
버거킹,의정부신세계점,패스트푸드,패스트푸드,경기도,의정부시,의정부3동,경기도 의정부시 평화로 525,127.045857428737,37.737982314148795,버거킹,1
버거킹,광주경안점,패스트푸드,패스트푸드,경기도,광주시,경안동,경기도 광주시 경안로 10,127.25954084157401,37.4101456147935,버거킹,1
버거킹,분당정자점,패스트푸드,패스트푸드,경기도,성남시 분당구,정자1동,경기도 성남시 분당구 정자일로 234,127.106273828981,37.3711871110814,버거킹,1
버거킹,상록점,패스트푸드,패스트푸드,경기도,성남시 분당구,정자동,경기도 성남시 분당구 정자로 88,127.11442947165001,37.363156754162105,버거킹,1
