ID,y,x,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
강릉,3.0,11.0,15.0,5.0,0.0,2.0,0.29411764705882354
고성(강원),0.0,10.0,1.0,2.0,0.0,0.0,2.0
동해,4.0,11.0,1.0,1.0,1.0,1.0,1.0
삼척,5.0,11.0,1.0,1.0,0.0,2.0,0.3333333333333333
속초,1.0,10.0,8.0,4.0,0.0,0.0,0.5
양구,0.0,9.0,1.0,0.0,0.0,0.0,0.0
양양,2.0,10.0,2.0,0.0,0.0,0.0,0.0
영월,7.0,10.0,0.0,0.0,0.0,0.0,0.0
원주,5.0,10.0,11.0,10.0,1.0,5.0,0.6875
인제,1.0,8.0,3.0,1.0,0.0,0.0,0.3333333333333333
정선,3.0,10.0,2.0,0.0,0.0,0.0,0.0
철원,0.0,7.0,2.0,0.0,0.0,0.0,0.0
춘천,1.0,9.0,27.0,10.0,1.0,4.0,0.3548387096774194
태백,4.0,10.0,1.0,1.0,0.0,0.0,1.0
평창,6.0,10.0,2.0,2.0,0.0,0.0,1.0
홍천,2.0,8.0,3.0,2.0,0.0,1.0,0.5
화천,0.0,8.0,1.0,0.0,0.0,0.0,0.0
횡성,2.0,9.0,1.0,0.0,0.0,0.0,0.0
가평,3.0,7.0,8.0,0.0,0.0,0.0,0.0
과천,7.0,7.0,1.0,4.0,0.0,1.0,2.0
광명,4.0,4.0,10.0,11.0,0.0,2.0,0.9166666666666666
광주,7.0,9.0,15.0,5.0,0.0,3.0,0.2777777777777778
구리,3.0,8.0,13.0,3.0,1.0,3.0,0.25
군포,9.0,5.0,10.0,4.0,2.0,7.0,0.35294117647058826
수원 권선,10.0,5.0,14.0,8.0,1.0,2.0,0.5625
용인 기흥,9.0,8.0,21.0,13.0,2.0,7.0,0.5357142857142857
김포,4.0,2.0,22.0,14.0,2.0,8.0,0.5333333333333333
남양주,2.0,7.0,46.0,12.0,1.0,3.0,0.2653061224489796
안산 단원,8.0,3.0,24.0,4.0,0.0,4.0,0.14285714285714285
고양 덕양,3.0,4.0,22.0,20.0,1.0,4.0,0.8076923076923077
동두천,1.0,4.0,3.0,4.0,0.0,0.0,1.3333333333333333
안양 동안,5.0,3.0,14.0,14.0,2.0,4.0,0.8888888888888888
안양 만안,4.0,3.0,10.0,4.0,1.0,4.0,0.35714285714285715
부천,5.0,2.0,33.0,7.0,7.0,9.0,0.3333333333333333
성남 분당,8.0,7.0,23.0,48.0,17.0,12.0,1.8571428571428572
안산 상록,7.0,3.0,13.0,1.0,0.0,1.0,0.07142857142857142
성남 수정,8.0,8.0,8.0,3.0,1.0,4.0,0.3333333333333333
용인 수지,8.0,9.0,19.0,10.0,2.0,3.0,0.5454545454545454
시흥,6.0,3.0,19.0,9.0,1.0,8.0,0.37037037037037035
안성,10.0,4.0,5.0,5.0,0.0,0.0,1.0
양주,1.0,3.0,15.0,7.0,0.0,0.0,0.4666666666666667
양평,4.0,9.0,5.0,3.0,0.0,1.0,0.5
여주,5.0,9.0,5.0,2.0,1.0,0.0,0.6
연천,1.0,5.0,1.0,0.0,2.0,0.0,2.0
수원 영통,9.0,7.0,20.0,10.0,4.0,4.0,0.5833333333333334
오산,10.0,3.0,8.0,5.0,0.0,2.0,0.5
의왕,9.0,6.0,6.0,1.0,0.0,1.0,0.14285714285714285
의정부,1.0,7.0,23.0,12.0,0.0,4.0,0.4444444444444444
이천,6.0,9.0,7.0,8.0,3.0,1.0,1.375
고양 일산동,2.0,4.0,14.0,16.0,5.0,2.0,1.3125
고양 일산서,3.0,3.0,12.0,16.0,5.0,1.0,1.6153846153846154
수원 장안,10.0,6.0,7.0,4.0,2.0,3.0,0.6
성남 중원,7.0,8.0,6.0,2.0,1.0,3.0,0.3333333333333333
용인 처인,9.0,9.0,7.0,5.0,0.0,2.0,0.5555555555555556
파주,2.0,3.0,19.0,7.0,1.0,8.0,0.2962962962962963
수원 팔달,11.0,6.0,13.0,13.0,3.0,4.0,0.9411764705882353
평택,11.0,4.0,14.0,10.0,1.0,5.0,0.5789473684210527
포천,1.0,6.0,11.0,5.0,0.0,1.0,0.4166666666666667
하남,3.0,9.0,19.0,10.0,1.0,1.0,0.55
화성,9.0,3.0,26.0,19.0,5.0,11.0,0.6486486486486487
거제,22.0,8.0,7.0,5.0,0.0,0.0,0.7142857142857143
거창,16.0,6.0,1.0,0.0,0.0,1.0,0.0
고성(경남),22.0,7.0,1.0,0.0,0.0,2.0,0.0
김해,20.0,9.0,27.0,12.0,0.0,2.0,0.41379310344827586
