ID,y,x,KFC 매장수,롯데리아 매장수,맘스터치 매장수,맥도날드 매장수,버거킹 매장수,버거지수
강릉,3,11,0,5,4,1,1,0.2222222222222222
고성(강원),0,10,0,1,0,0,0,0.0
동해,4,11,1,0,0,3,0,0.0
삼척,5,11,0,0,1,0,0,0.0
속초,1,10,0,6,1,1,1,0.2857142857142857
양구,0,9,0,1,0,0,0,0.0
양양,2,10,0,2,0,0,0,0.0
원주,5,10,0,13,4,5,1,0.35294117647058826
인제,1,8,0,2,1,0,0,0.0
정선,3,10,0,1,0,0,0,0.0
철원,0,7,0,0,1,0,0,0.0
춘천,1,9,4,5,1,4,3,1.8333333333333333
태백,4,10,0,1,0,0,0,0.0
평창,6,10,0,1,2,0,0,0.0
홍천,2,8,0,3,1,0,4,1.0
화천,0,8,0,2,3,0,0,0.0
횡성,2,9,1,1,0,0,0,1.0
가평,3,7,0,4,1,0,0,0.0
고양 덕양,3,4,2,9,2,8,3,1.1818181818181819
고양 일산동,2,4,2,5,0,8,7,3.4
고양 일산서,3,3,2,9,2,1,2,0.45454545454545453
과천,7,7,0,1,0,3,0,3.0
광명,4,4,1,1,0,5,1,7.0
광주,7,9,0,6,3,0,1,0.1111111111111111
구리,3,8,3,2,0,3,1,3.5
군포,9,5,0,5,0,2,1,0.6
김포,4,2,5,8,3,5,4,1.2727272727272727
남양주,2,7,2,4,10,6,4,0.8571428571428571
동두천,1,4,0,1,1,1,2,1.5
부천,5,2,3,5,4,9,7,2.111111111111111
성남 분당,8,7,7,6,4,9,13,2.9
성남 수정,8,8,0,2,0,2,3,2.5
성남 중원,7,8,0,4,3,1,0,0.14285714285714285
수원 권선,10,5,3,7,0,3,2,1.1428571428571428
수원 영통,9,7,3,7,0,8,5,2.2857142857142856
수원 장안,10,6,0,5,1,8,1,1.5
수원 팔달,11,6,6,8,0,6,5,2.125
시흥,6,3,2,15,5,1,3,0.3
안산 단원,8,3,0,9,1,3,3,0.6
안산 상록,7,3,1,11,2,2,1,0.3076923076923077
안성,10,4,0,10,0,1,0,0.1
안양 동안,5,3,2,9,1,2,3,0.7
안양 만안,4,3,3,9,0,2,0,0.5555555555555556
양주,1,3,0,3,4,1,0,0.14285714285714285
양평,4,9,0,5,0,0,1,0.2
여주,5,9,0,7,1,0,1,0.125
연천,1,5,0,1,1,0,0,0.0
오산,10,3,0,5,0,6,4,2.0
용인 기흥,9,8,2,5,1,8,1,1.8333333333333333
용인 수지,8,9,1,5,2,5,4,1.4285714285714286
용인 처인,9,9,1,10,2,4,0,0.4166666666666667
의왕,9,6,1,3,0,1,0,0.6666666666666666
의정부,1,7,1,11,2,7,9,1.3076923076923077
이천,6,9,2,8,0,6,2,1.25
파주,2,3,0,12,5,0,3,0.17647058823529413
평택,11,4,1,18,2,5,6,0.6
포천,1,6,1,3,2,1,1,0.6
하남,3,9,2,5,2,1,2,0.7142857142857143
화성,9,3,1,18,3,6,5,0.5714285714285714
거제,22,8,0,4,2,3,4,1.1666666666666667
거창,16,6,0,2,0,0,0,0.0
고성(경남),22,7,0,3,0,0,0,0.0
김해,20,9,4,10,1,9,3,1.4545454545454546
남해,22,6,0,1,1,0,0,0.0
밀양,17,8,0,0,0,2,0,0.0
사천,21,6,0,3,1,1,1,0.5
산청,19,5,0,1,0,0,0,0.0
양산,19,7,2,5,5,3,2,0.7
의령,18,7,0,1,1,0,0,0.0
진주,18,6,1,11,4,6,2,0.6
창녕,17,7,0,2,0,0,0,0.0
창원 합포,19,8,0,0,2,2,1,1.5
창원 회원,21,7,1,8,1,4,3,0.8888888888888888
창원 성산,20,7,1,4,0,4,1,1.5
창원 의창,20,6,0,6,3,5,2,0.7777777777777778
창원 진해,20,8,0,5,1,4,1,0.8333333333333334
통영,21,8,0,0,0,2,0,0.0
하동,20,5,0,1,0,0,0,0.0
경산,12,11,2,8,3,0,4,0.5454545454545454
경주,12,12,1,8,3,4,1,0.5454545454545454
고령,13,9,0,1,0,0,0,0.0
구미,10,10,1,8,1,7,6,1.5555555555555556
김천,11,9,0,3,2,1,1,0.4
문경,8,10,0,3,0,0,0,0.0
봉화,8,11,0,3,0,0,0,0.0
상주,11,8,0,2,0,0,1,0.5
성주,13,11,0,1,0,0,0,0.0
안동,9,10,0,5,0,0,2,0.4
영주,10,9,0,3,0,0,1,0.3333333333333333
영천,12,10,0,2,0,0,0,0.0
예천,10,8,0,0,1,0,0,0.0
울릉,8,13,0,1,0,0,0,0.0
울진,6,11,0,2,1,0,0,0.0
의성,11,11,0,1,0,0,0,0.0
청도,13,10,0,1,0,0,0,0.0
